Timestamp: 1647980841.4446068, Acceleration: [' 0.11', '-0.27', ' 9.70'], Velocity: [' 0.00', '-0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980841.4545264, Acceleration: [' 0.15', '-0.12', ' 9.90'], Velocity: [' 0.00', '-0.00', ' 0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980841.4654934, Acceleration: [' 0.08', ' 0.04', ' 9.86'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980841.4746535, Acceleration: ['-0.02', ' 0.19', ' 9.77'], Velocity: ['-0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980841.4845965, Acceleration: [' 0.03', ' 0.16', ' 9.69'], Velocity: [' 0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980841.4945793, Acceleration: [' 0.11', ' 0.07', ' 9.67'], Velocity: [' 0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980841.505193, Acceleration: [' 0.01', '-0.00', ' 9.60'], Velocity: [' 0.00', '-0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980841.5153828, Acceleration: ['-0.01', ' 0.19', ' 9.81'], Velocity: ['-0.00', ' 0.00', ' 0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980841.5297804, Acceleration: [' 0.04', ' 0.21', ' 9.72'], Velocity: [' 0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980841.5362697, Acceleration: ['-0.00', ' 0.18', ' 9.66'], Velocity: ['-0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
